2015-04-14 00:26:10 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://www.igmoo.cn/
2015-04-14 00:26:12 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://www.igmoo.cn/
2015-04-14 01:52:36 uri:/123; code:404; msg:The requested URL 123 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL 123 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/123
2015-04-14 03:10:36 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 03:11:46 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 03:47:32 uri:/shop/123; code:404; msg:The requested URL shop/123 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL shop/123 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 113 ]; referer:http://www.xgomo.com/shop/123
2015-04-14 06:14:29 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 06:31:56 uri:/HNAP1; code:404; msg:The requested URL HNAP1 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL HNAP1 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 07:40:24 uri:/mobile/; code:404; msg:The requested URL mobile was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL mobile was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 09:49:30 uri:/index.action; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:30 uri:/news.action; code:404; msg:Unable to find a route to match the URI: news.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: news.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:30 uri:/admin/index.action; code:404; msg:Unable to find a route to match the URI: admin/index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:30 uri:/license!getExpireDateOfDays.action; code:404; msg:Unable to find a route to match the URI: license!getExpireDateOfDays.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: license!getExpireDateOfDays.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:31 uri:/userAction_loginUI.action; code:404; msg:Unable to find a route to match the URI: userAction_loginUI.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userAction_loginUI.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:31 uri:/unAuthorizedAccess.action; code:404; msg:Unable to find a route to match the URI: unAuthorizedAccess.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: unAuthorizedAccess.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:31 uri:/login.jsp; code:404; msg:Unable to find a route to match the URI: login.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 09:49:31 uri:/login2.jsp; code:404; msg:Unable to find a route to match the URI: login2.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login2.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 10:44:12 uri:/123; code:404; msg:The requested URL 123 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL 123 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.igmoo.cn/123
2015-04-14 10:55:52 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 12:53:30 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 13:04:45 uri:/team/about; code:404; msg:The requested URL team/about was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/about was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.igmoo.cn/
2015-04-14 13:05:50 uri:/team/about; code:404; msg:The requested URL team/about was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/about was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.igmoo.cn/site/more?category=50012
2015-04-14 13:15:06 uri:/user/forgetpassword; code:404; msg:The requested URL user/forgetpassword was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL user/forgetpassword was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 113 ]; referer:http://igmoo.cn/user/forgetpassword
2015-04-14 13:29:32 uri:/team/about; code:404; msg:The requested URL team/about was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/about was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 14:32:04 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 14:34:46 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 14:38:17 uri:/m/; code:404; msg:The requested URL m was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL m was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-14 14:42:45 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 16:02:03 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-14 16:36:35 uri:/team/about; code:404; msg:The requested URL team/about was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/about was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/
2015-04-14 16:36:38 uri:/detail/1ki; code:404; msg:The requested URL detail/1ki was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL detail/1ki was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/
