2015-04-23 00:54:40 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 02:44:10 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/news.action; code:404; msg:Unable to find a route to match the URI: news.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: news.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/index!download.action; code:404; msg:Unable to find a route to match the URI: index!download.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!download.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/index!execute.action; code:404; msg:Unable to find a route to match the URI: index!execute.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!execute.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/index!WCIndex.action; code:404; msg:Unable to find a route to match the URI: index!WCIndex.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!WCIndex.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/index!OAIndex.action; code:404; msg:Unable to find a route to match the URI: index!OAIndex.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!OAIndex.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/userInfoAction.action; code:404; msg:Unable to find a route to match the URI: userInfoAction.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userInfoAction.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/admin/install!license.action; code:404; msg:Unable to find a route to match the URI: admin/install!license.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/install!license.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/admin/index.action; code:404; msg:Unable to find a route to match the URI: admin/index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:30 uri:/login.jsp; code:404; msg:Unable to find a route to match the URI: login.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/siteEnter.action; code:404; msg:Unable to find a route to match the URI: siteEnter.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: siteEnter.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/login!init.action; code:404; msg:Unable to find a route to match the URI: login!init.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login!init.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/admin/index.jsp; code:404; msg:Unable to find a route to match the URI: admin/index.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/license!getExpireDateOfDays.action; code:404; msg:Unable to find a route to match the URI: license!getExpireDateOfDays.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: license!getExpireDateOfDays.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/userAction_loginUI.action; code:404; msg:Unable to find a route to match the URI: userAction_loginUI.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userAction_loginUI.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:03:31 uri:/unAuthorizedAccess.action; code:404; msg:Unable to find a route to match the URI: unAuthorizedAccess.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: unAuthorizedAccess.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 03:49:37 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 05:10:59 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-23 05:17:32 uri:/123; code:404; msg:The requested URL 123 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL 123 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.igmoo.cn/123
2015-04-23 05:54:02 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-23 06:10:07 uri:/rom-0; code:404; msg:The requested URL rom-0 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL rom-0 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-23 08:13:00 uri:/login.action; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
