2015-04-28 00:07:05 uri:/detail/1ki; code:404; msg:The requested URL detail/1ki was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL detail/1ki was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 00:42:47 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-04-28 00:42:48 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-04-28 02:38:15 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 02:45:53 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 04:38:40 uri:/public/agreement; code:404; msg:The requested URL public/agreement was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL public/agreement was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 05:19:41 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 06:00:10 uri:/rom-0; code:404; msg:The requested URL rom-0 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL rom-0 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 08:36:24 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 08:51:33 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 09:52:49 uri:/kmvczrccilnohfl.html; code:404; msg:Unable to find a route to match the URI: kmvczrccilnohfl.html-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: kmvczrccilnohfl.html ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 10:51:28 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 11:06:36 uri:/ipc$; code:404; msg:The requested URL ipc$ was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL ipc$ was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 11:10:42 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 11:15:23 uri:/site/%E8%AF%B7%E6%8F%92%E5%85%A5%E5%9B%BE%E7%89%87%E9%93%BE%E6%8E%A5; code:404; msg:The requested URL site/请插入图片链接 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL site/请插入图片链接 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 113 ]; referer:http://www.xgomo.com/site/create
2015-04-28 11:15:42 uri:/site/%E8%AF%B7%E6%8F%92%E5%85%A5%E5%9B%BE%E7%89%87%E9%93%BE%E6%8E%A5; code:404; msg:The requested URL site/请插入图片链接 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL site/请插入图片链接 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 113 ]; referer:http://www.xgomo.com/site/create
2015-04-28 11:16:02 uri:/site/%E8%AF%B7%E6%8F%92%E5%85%A5%E5%9B%BE%E7%89%87%E9%93%BE%E6%8E%A5; code:404; msg:The requested URL site/请插入图片链接 was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL site/请插入图片链接 was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 113 ]; referer:http://www.xgomo.com/site/create
2015-04-28 12:09:24 uri:/includes/templates/error.tpl; code:404; msg:Unable to find a route to match the URI: includes/templates/error.tpl-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: includes/templates/error.tpl ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 13:27:40 uri:/team/contact; code:404; msg:The requested URL team/contact was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/contact was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-28 13:53:30 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-28 14:05:39 uri:/index.php?case=archive&act=orders&aid[typeid%60%3d1%20UNION%20SELECT/**/1,2,3,concat(version(),user()),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58 from cmseasy_archive ORDER BY 1%23]=1; code:404; msg:Unable to find a route to match the URI: index.php-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.php ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
